name,kind,dom,ctry,cat,scat,spec,ext,desc,deleted,new,SISO,alt
US_EXP_AIR_WDEC_A_B37U_1_V_2_PASSIVE_RF_AUGMENTATION,8,2,225,6,1,2,0,Tactical Air-Launched Decoy A/B37U-1(V)2 passive RF augmentation,0,0,0,US_EXP_AIR_WDEC_TACT_AIR_LNCHED
US_EXP_AIR_WDEC_ADM_141A_PASSIVE_AND_ACTIVE_RF_AUGMENTATION,8,2,225,6,1,3,0,Tactical Air-Launched Decoy ADM-141A passive and active RF augmentation,0,0,0,US_EXP_AIR_WDEC_TACT_AIR_LNCHED
US_EXP_AIR_WDEC_ADM_141B_CHAFF_DISPENSING,8,2,225,6,1,4,0,Tactical Air-Launched Decoy ADM-141B chaff-dispensing,0,0,0,US_EXP_AIR_WDEC_TACT_AIR_LNCHED
US_EXP_AIR_WDEC_ADM_141C_IMPROVED_TALD,8,2,225,6,1,5,0,Tactical Air-Launched Decoy ADM-141C Improved TALD,0,0,0,US_EXP_AIR_WDEC_TACT_AIR_LNCHED
AUL_EXP_SURF_OTH_NULKA,8,3,13,0,0,1,0,Expendables Nulka,0,0,0,0
US_EXP_SURF_FLARE,8,3,225,2,0,0,0,Expendables Flare,0,0,0,0
US_EXP_SURF_AE,8,3,225,4,0,0,0,Expendables Active Emitter ,0,0,0,0
US_EXP_SURF_AE_OTHER_NIXIE,8,3,225,4,0,1,0,Nixie,0,0,0,US_EXP_SURF_AE
US_EXP_SURF_PDEC,8,3,225,5,0,0,0,Expendables Passive decoy,0,0,0,0
CIS_EXP_SUBS_AE,8,4,222,4,0,0,0,Expendables Active emitter,0,0,0,0
CIS_EXP_SUBS_AE_UC_2S,8,4,222,4,1,0,0,UC-2S,0,0,0,CIS_EXP_SUBS_AE
CIS_EXP_SUBS_AE_UC_5M,8,4,222,4,2,0,0,UC-5M,0,0,0,CIS_EXP_SUBS_AE
CIS_EXP_SUBS_AE_UC_2_COUNTERMEASURE,8,4,222,4,3,0,0,UC-2 Countermeasure,0,0,0,CIS_EXP_SUBS_AE
US_EXP_SUBS_AE,8,4,225,4,0,0,0,Expendables Active emitter,0,0,0,0
US_EXP_SUBS_AE_CM_NAE,8,4,225,4,1,0,0,CM NAE,0,0,0,US_EXP_SUBS_AE
US_EXP_SUBS_AE_CM_ADC_MK_3_T,8,4,225,4,2,0,0,CM ADC Mk 3 T,0,0,0,US_EXP_SUBS_AE
US_EXP_SUBS_AE_CM_ADC_MK_3_S,8,4,225,4,3,0,0,CM ADC Mk 3 S,0,0,0,US_EXP_SUBS_AE
US_EXP_SUBS_AE_CM_ADC_MK_3_N,8,4,225,4,4,0,0,CM ADC Mk 3 N,0,0,0,US_EXP_SUBS_AE
US_EXP_SUBS_AE_CM_ADC_MK_4,8,4,225,4,5,0,0,CM ADC Mk 4,0,0,0,US_EXP_SUBS_AE
US_EXP_SUBS_AE_CM_ADC_MK_4_CM_ADC_MK_4_BBNR,8,4,225,4,5,1,0,CM ADC Mk 4 CM ADC MK-4 BBNR,0,0,0,US_EXP_SUBS_AE
US_EXP_SUBS_AE_CM_ADC_MK_5_CM_ADC_MK_4_BBN,8,4,225,4,5,2,0,CM ADC Mk 5 CM ADC MK-4 BBN,0,0,0,US_EXP_SUBS_AE
US_EXP_SUBS_AE_CM_ADC_MK_6_CM_ADC_MK_4_SFJR,8,4,225,4,5,3,0,CM ADC Mk 6 CM ADC MK-4 SFJR,0,0,0,US_EXP_SUBS_AE
US_EXP_SUBS_AE_CM_ADC_MK_7_CM_ADC_MK_4_SFJ,8,4,225,4,5,4,0,CM ADC Mk 7 CM ADC MK-4 SFJ,0,0,0,US_EXP_SUBS_AE
US_EXP_SUBS_AE_CM_ADC_MK_3,8,4,225,4,6,0,0,CM ADC MK-3 ,0,0,0,US_EXP_SUBS_AE
US_EXP_SUBS_AE_CM_ADC_MK_3_CM_ADC_MK_3_R3,8,4,225,4,6,1,0,CM ADC MK-3 CM ADC MK-3 R3,0,0,0,US_EXP_SUBS_AE
US_EXP_SUBS_AE_CM_ADC_MK_4_CM_ADC_MK_3_BN,8,4,225,4,6,2,0,CM ADC MK-4 CM ADC MK-3 BN,0,0,0,US_EXP_SUBS_AE
US_EXP_SUBS_AE_CM_ADC_MK_5_CM_ADC_MK_3_NPN,8,4,225,4,6,3,0,CM ADC MK-5 CM ADC MK-3 NPN,0,0,0,US_EXP_SUBS_AE
US_EXP_SUBS_AE_CM_ADC_MK_6_CM_ADC_MK_3_IR_3,8,4,225,4,6,4,0,CM ADC MK-6 CM ADC MK-3 IR 3,0,0,0,US_EXP_SUBS_AE
US_EXP_SUBS_AE_CM_ADC_MK_1,8,4,225,4,7,0,0,CM ADC MK-1,0,0,0,US_EXP_SUBS_AE
