name,kind,dom,ctry,cat,scat,spec,ext,desc,deleted,new,SISO,alt
CIS_PLAT_LAND_ADUE_SP_VSHORAD_GOPHER_SA_13_TELAR_W_FLAT_BOX_B,1,1,222,28,12,3,1,Gopher SAM System SA-13 TELAR w/Flat Box B,0,0,0,CIS_PLAT_LAND_ADUE_SP_VSHORAD_SA_13_GOPHER
CIS_PLAT_LAND_ADUE_SP_VSHORAD_SA_13_GOPHER_SA_13_TELAR_W_O_FLAT_BOX,1,1,222,28,12,3,2,SA-13 Gopher SAM System SA-13 TELAR w/o Flat Box,0,0,0,CIS_PLAT_LAND_ADUE_SP_VSHORAD_SA_13_GOPHER
CIS_PLAT_LAND_ADUE_SP_VSHORAD_2S6_TUNGUSKA_QUAD_30MM_SA_19_AD_SYS,1,1,222,28,12,4,0,2S6 Tunguska Quad 30mm/SA-19 AD System,0,0,0,CIS_PLAT_LAND_ADUE_SP_VSHORAD
CIS_PLAT_LAND_ADUE_SP_VSHORAD_ZSU_57_2_TWIN_57MM_AA_GUN_SYS,1,1,222,28,12,5,0,ZSU-57/2 twin-57mm AA Gun System,0,0,0,CIS_PLAT_LAND_ADUE_SP_VSHORAD
CIS_PLAT_LAND_ADUE_SP_VSHORAD_BTR_40A_W_ZPTU_2_TWIN_14_5MM_AA_MOUNT,1,1,222,28,12,6,0,BTR-40A w/ZPTU-2 twin-14.5mm AA mount,0,0,0,CIS_PLAT_LAND_ADUE_SP_VSHORAD
CIS_PLAT_LAND_ADUE_SP_VSHORAD_BTR_152A_W_ZPTU_2_TWIN_14_5MM_AA_MOUNT,1,1,222,28,12,7,0,BTR-152A w/ZPTU-2 twin-14.5mm AA mount,0,0,0,CIS_PLAT_LAND_ADUE_SP_VSHORAD
CIS_PLAT_LAND_ADUE_SP_VSHORAD_BTR_152D_W_ZPU_2_TWIN_14_5MM_AA_MOUNT,1,1,222,28,12,8,0,BTR-152D w/ZPU-2 twin-14.5mm AA mount,0,0,0,CIS_PLAT_LAND_ADUE_SP_VSHORAD
CIS_PLAT_LAND_ADUE_SP_VSHORAD_BTR_152_W_ZU_23_TWIN_23MM_AA_MOUNT,1,1,222,28,12,9,0,BTR-152 w/ZU-23 twin-23mm AA mount,0,0,0,CIS_PLAT_LAND_ADUE_SP_VSHORAD
CIS_PLAT_LAND_ADUE_SP_VSHORAD_BTR_152_W_M53_QUAD_12_7MM_MG_MOUNT,1,1,222,28,12,10,0,BTR-152 w/M53 quad-12.7mm MG mount,0,0,0,CIS_PLAT_LAND_ADUE_SP_VSHORAD
CIS_PLAT_LAND_ADUE_SP_VSHORAD_LONG_TRACK,1,1,222,28,12,11,0,Long Track Target Acquisition Radar,0,1,1,CIS_PLAT_LAND_ADUE_SP_VSHORAD
CIS_PLAT_LAND_ADUE_TOW_VSHORAD,1,1,222,28,13,0,0,Towed VSHORAD Gun/Missile System,0,0,0,CIS_PLAT_LAND_ADUE
CIS_PLAT_LAND_ADUE_TOW_VSHORAD_KS_30_130MM_AA_GUN,1,1,222,28,13,1,0,KS-30 130mm AA Gun,0,0,0,CIS_PLAT_LAND_ADUE_TOW_VSHORAD
CIS_PLAT_LAND_ADUE_TOW_VSHORAD_KS_19_100MM_AA_GUN,1,1,222,28,13,2,0,KS-19 100mm AA Gun,0,0,0,CIS_PLAT_LAND_ADUE_TOW_VSHORAD
