name,kind,dom,ctry,cat,scat,spec,ext,desc,deleted,new,SISO,alt
IRAQ_SE_LAND_RFA_MULTI_FUNC_FIXED,9,1,102,2,1,1,0,Iraq Land Sensor/Emitter RF Active Multi-function Fixed,0,0,0,IRAQ_SE_LAND_RFA
IRAQ_SE_LAND_RFA_MULTI_FUNC_MOBILE,9,1,102,2,1,2,0,Iraq Land Sensor/Emitter RF Active Multi-function Mobile,0,0,0,IRAQ_SE_LAND_RFA
IT_SE_LAND_RFA,9,1,106,2,0,0,0,Italy Land Sensor/Emitter RF Active,0,0,0,0
IT_SE_LAND_RFA_MULTI_FUNC,9,1,106,2,1,0,0,Italy Land Sensor/Emitter RF Active Multi-function,0,0,0,IT_SE_LAND_RFA
IT_SE_LAND_RFA_MULTI_FUNC_FIXED,9,1,106,2,1,1,0,Italy Land Sensor/Emitter RF Active Multi-function Fixed,0,0,0,IT_SE_LAND_RFA
IT_SE_LAND_RFA_EARLY_WARNING_SURV_RADAR,9,1,106,2,2,0,0,Italy Land Sensor/Emitter RF Active Early Warning/Surveillance Radar,0,0,0,IT_SE_LAND_RFA
IT_SE_LAND_RFA_EARLY_WARNING_SURV_RADAR_PLUTO,9,1,106,2,2,1,0,Italy Land Sensor/Emitter RF Active Early Warning/Surveillance Radar Pluto,0,0,0,IT_SE_LAND_RFA
IT_SE_LAND_RFA_EARLY_WARNING_SURV_RADAR_RAT_31S,9,1,106,2,2,2,0,Italy Land Sensor/Emitter RF Active Early Warning/Surveillance Radar RAT-31S,0,0,0,IT_SE_LAND_RFA
IT_SE_LAND_RFA_EARLY_WARNING_SURV_RADAR_ATCR_33_SELENIA,9,1,106,2,2,3,0,Italy Land Sensor/Emitter RF Active Early Warning/Surveillance Radar ATCR-33 (Selenia),0,0,0,IT_SE_LAND_RFA
JAP_SE_LAND_RFA,9,1,110,2,0,0,0,Japan Land Sensor / Emitter RF Active,0,0,0,0
JAP_SE_LAND_RFA_MULTI_FUNC,9,1,110,2,2,0,0,Japan Land Sensor/Emitter RF Active Multi-function,0,0,0,JAP_SE_LAND_RFA
JAP_SE_LAND_RFA_MULTI_FUNC_FR_2855W,9,1,110,2,2,1,0,Japan Land Sensor/Emitter RF Active Multi-function FR-2855W,0,0,0,JAP_SE_LAND_RFA
DPRNK_SE_LAND_RFA,9,1,119,2,0,0,0,North Korea Land Sensor/Emitter RF Active,0,0,0,0
DPRNK_SE_LAND_RFA_MULTI_FUNC,9,1,119,2,1,0,0,North Korea Land Sensor/Emitter RF Active Multi-function,0,0,0,DPRNK_SE_LAND_RFA
DPRNK_SE_LAND_RFA_MULTI_FUNC_FIXED,9,1,119,2,1,1,0,North Korea Land Sensor/Emitter RF Active Multi-function Fixed,0,0,0,DPRNK_SE_LAND_RFA
DPRNK_SE_LAND_RFA_MULTI_FUNC_MOBILE,9,1,119,2,1,2,0,North Korea Land Sensor/Emitter RF Active Multi-function Mobile,0,0,0,DPRNK_SE_LAND_RFA
DPRNK_SE_LAND_RFA_FIRE_CTRL_RADAR,9,1,119,2,4,0,0,North Korea Land Sensor/Emitter RF Active Fire Control Radar,0,0,0,DPRNK_SE_LAND_RFA
DPRNK_SE_LAND_RFA_RADAR_DRUM_TILT_B,9,1,119,2,4,1,0,North Korea Land Sensor/Emitter RF Active Fire Control Radar Drum Tilt B,0,0,0,DPRNK_SE_LAND_RFA
NETH_SE_LAND_RFA,9,1,153,2,0,0,0,Netherlands Land Sensor/Emitter RF Active,0,0,0,0
NETH_SE_LAND_RFA_MULTI_FUNC,9,1,153,2,1,0,0,Netherlands Land Sensor/Emitter RF Active Multi-function,0,0,0,NETH_SE_LAND_RFA
NETH_SE_LAND_RFA_MULTI_FUNC_FIXED,9,1,153,2,1,1,0,Netherlands Land Sensor/Emitter RF Active Multi-function Fixed,0,0,0,NETH_SE_LAND_RFA
SA_SE_LAND_RFA,9,1,197,2,0,0,0,South Africa Land Sensor/Emitter RF Active,0,0,0,0
SA_SE_LAND_RFA_MULTI_FUNC,9,1,197,2,1,0,0,RF Active Multi-function,0,0,0,SA_SE_LAND_RFA
SA_SE_LAND_RFA_GSY_1800_ESM_JAMMER,9,1,197,2,1,1,0,GSY 1800 ESM/Jammer,0,1,1,SA_SE_LAND_RFA_MULTI_FUNC
SWE_SE_LAND_RFA,9,1,205,2,0,0,0,Sweden Land Sensor/Emitter RF Active,0,0,0,0
SWE_SE_LAND_RFA_TAR,9,1,205,2,5,0,0,RF Active Target Acquisition Radar,0,0,0,SWE_SE_LAND_RFA
SWE_SE_LAND_RFA_TAR_GIRAFFE,9,1,205,2,5,1,0,Giraffe,0,0,0,SWE_SE_LAND_RFA_TAR
SWE_SE_LAND_RFA_TAR_GIRAFFE_40,9,1,205,2,5,1,1,Giraffe-40,0,0,0,SWE_SE_LAND_RFA_TAR_GIRAFFE
SWE_SE_LAND_RFA_TAR_GIRAFFE_50_AT,9,1,205,2,5,1,2,Giraffe-50 AT,0,0,0,SWE_SE_LAND_RFA_TAR_GIRAFFE
SWE_SE_LAND_RFA_TAR_GIRAFFE_75,9,1,205,2,5,1,3,Giraffe-75,0,0,0,SWE_SE_LAND_RFA_TAR_GIRAFFE
SWE_SE_LAND_RFA_TAR_GIRAFFE_PS_70R,9,1,205,2,5,1,4,Giraffe PS-70R,0,1,1,SWE_SE_LAND_RFA_TAR_GIRAFFE
SWE_SE_LAND_RFA_TAR_HARD_PS_91,9,1,205,2,5,2,0,HARD (PS-91),0,0,0,SWE_SE_LAND_RFA_TAR
SWE_SE_LAND_ACOUSTIC_PASSIVE,9,1,205,11,0,0,0,Sweden Land Sensor/Emitter Acoustic Passive,0,0,0,0
SWE_SE_LAND_AP_FPLPL,9,1,205,11,8,0,0,Acoustic Passive Firing Point / Launch Point Location,0,0,0,SWE_SE_LAND_ACOUSTIC_PASSIVE
SWE_SE_LAND_AP_FPLPL_SORAS_6,9,1,205,11,8,1,0,SORAS-6 Sound Ranging System,0,1,1,SWE_SE_LAND_AP_FPLPL
SWI_SE_LAND_RFA,9,1,206,2,0,0,0,Switzerland Land Sensor/Emitter RF Active,0,0,0,0
SWI_SE_LAND_RFA_FIRE_CTRL_RADAR,9,1,206,2,4,0,0,RF Active Fire Control Radar,0,0,0,SWI_SE_LAND_RFA
