value,name,national_desc,nato_desc,comm_designation_desc,deleted,new,SISO
20205,EMITTER_M401Z,0,M401Z,0,0,0,0
20250,EMITTER_M585Z,0,M585Z,0,0,0,0
20295,EMITTER_M588Z,0,M588Z,0,0,0,0
20340,EMITTER_MA_1_IFF_PORTION,MA 1 IFF Portion,0,0,0,0,0
20360,EMITTER_MARELD,0,MARELD,0,0,0,0
20385,EMITTER_MA_TYPE_909#,0,0,MA Type 909#,0,0,0
20430,EMITTER_MARCONI_1810,0,0,Marconi 1810,0,0,0
20475,EMITTER_MARCONI_CANADA_HC_75,0,0,Marconi Canada HC 75,0,0,0
20495,EMITTER_MARCONI_S_713,0,0,Marconi S 713,0,0,0
20520,EMITTER_MARCONI_S_1802,0,0,Marconi S 1802,0,0,0
20530,EMITTER_MARCONI_S247S_247,0,0,Marconi S247S 247,0,0,0
20565,EMITTER_MARCONI_S_810,0,0,Marconi S 810,0,0,0
20585,EMITTER_MARCONI_SA_10,0,0,Marconi SA 10,0,0,0
20610,EMITTER_MARCONI_TYPE_967,0,0,Marconi type 967,0,0,0
20655,EMITTER_MARCONI_TYPE_968,0,0,Marconi type 968,0,0,0
20700,EMITTER_MARCONI_TYPE_992,0,0,Marconi type 992,0,0,0
20745,EMITTER_MARCONI_SIGNAAL_TYPE_1022,0,0,Marconi/signaal type 1022,0,0,0
20790,EMITTER_MARCONI_SIGNAAL_TYPE_910,0,0,Marconi/signaal type 910,0,0,0
20835,EMITTER_MARCONI_SIGNAAL_TYPE_911,0,0,Marconi/signaal type 911,0,0,0
20880,EMITTER_MARCONI_SIGNAAL_TYPE_992R,0,0,Marconi/signaal type 992R,0,0,0
20925,EMITTER_MESH_BRICK,0,Mesh Brick,0,0,0,0
20950,EMITTER_MIRAGE_ILL,Mirage ILL,0,0,0,0,0
20970,EMITTER_MK_15_CIWS,0,0,MK 15 CIWS,0,0,0
21015,EMITTER_MK_23,MK-23,0,0,0,0,0
21060,EMITTER_MK_23_TAS,MK 23 TAS,0,0,0,0,0
21105,EMITTER_MK_25,MK 25,0,0,0,0,0
21150,EMITTER_MK_35_M2,MK-35 M2,0,0,0,0,0
21195,EMITTER_MK_92,MK 92,0,0,0,0,0
21240,EMITTER_MK_92_CAS,MK-92 CAS,0,0,0,0,0
21285,EMITTER_MK_92_STIR,MK-92 STIR,0,0,0,0,0
21330,EMITTER_MK_95,MK 95,0,0,0,0,0
21340,EMITTER_MLA_1,MLA-1,0,0,0,0,0
21375,EMITTER_MM_APS_705,MM APS 705,0,0,0,0,0
21420,EMITTER_MM_SPG_74,MM SPG 74,0,0,0,0,0
21465,EMITTER_MM_SPG_75,MM SPG 75,0,0,0,0,0
21490,EMITTER_MM_SPN_703,MM SPN 703,0,0,0,0,0
21510,EMITTER_MM_SPS_702,MM SPS 702,0,0,0,0,0
21555,EMITTER_MM_SPS_768,MM SPS 768,0,0,0,0,0
21600,EMITTER_MM_SPS_774,MM SPS 774,0,0,0,0,0
21645,EMITTER_MOON_4,Moon 4,0,0,0,0,0
21650,EMITTER_MMRS,0,MMRS,0,0,0,0
21690,EMITTER_MPDR_18_X,MPDR 18 X,0,0,0,0,0
21710,EMITTER_MT_305X,MT-305X,0,0,0,0,0
21735,EMITTER_MUFF_COB,0,Muff Cob,0,0,0,0
21780,EMITTER_MUSHROOM,Mushroom,0,0,0,0,0
21825,EMITTER_MUSHROOM_1,Mushroom 1,0,0,0,0,0
21870,EMITTER_MUSHROOM_2,Mushroom 2,0,0,0,0,0
21880,EMITTER_N920Z,N920Z,0,0,0,0,0
21890,EMITTER_NANJING_B,0,Nanjing B,0,0,0,0
