value,name,desc
233,ENT_CNTRY_WALLIS_AND_FUTUNA,Wallis and Futuna
234,ENT_CNTRY_WESTERN_SAHARA,Western Sahara
235,ENT_CNTRY_WEST_BANK,West Bank
236,ENT_CNTRY_WESTERN_SAMOA,Western Samoa
237,ENT_CNTRY_YEMEN,Yemen
238,ENT_CNTRY_UNUSED_238,Unused Country 238
239,ENT_CNTRY_UNUSED_239,Unused Country 239
240,ENT_CNTRY_YUGOSLAVIA,Yugoslavia
241,ENT_CNTRY_ZAIRE,Zaire
242,ENT_CNTRY_ZAMBIA,Zambia
243,ENT_CNTRY_ZIMBABWE,Zimbabwe
244,ENT_CNTRY_ARMENIA,Armenia
245,ENT_CNTRY_AZERBAIJAN,Azerbaijan
246,ENT_CNTRY_BELARUS,Belarus
247,ENT_CNTRY_BOSNIA_AND_HERCEGOVINA,Bosnia and Hercegovina
248,ENT_CNTRY_CLIPPERTON_ISLAND,Clipperton Island
249,ENT_CNTRY_CROATIA,Croatia
250,ENT_CNTRY_ESTONIA,Estonia
251,ENT_CNTRY_GEORGIA,Georgia
252,ENT_CNTRY_KAZAKHSTAN,Kazakhstan
253,ENT_CNTRY_KYRGYZSTAN,Kyrgyzstan
254,ENT_CNTRY_LATVIA,Latvia
255,ENT_CNTRY_LITHUANIA,Lithuania
256,ENT_CNTRY_MACEDONIA,Macedonia
257,ENT_CNTRY_MIDWAY_ISLANDS,Midway Islands
258,ENT_CNTRY_MOLDOVA,Moldova
259,ENT_CNTRY_MONTENEGRO,Montenegro
260,ENT_CNTRY_RUSSIA,Russia
261,ENT_CNTRY_SERBIA_AND_MONTENEGRO,Serbia and Montenegro
262,ENT_CNTRY_SLOVENIA,Slovenia
263,ENT_CNTRY_TAJIKISTAN,Tajikistan
264,ENT_CNTRY_TURKMENISTAN,Turkmenistan
265,ENT_CNTRY_UKRAINE,Ukraine
266,ENT_CNTRY_UZBEKISTAN,Uzbekistan
